City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,baker,30.5882,-91.1682,26.01,93,41,1.09,US,1726367947
84,puerto ayora,-0.7393,-90.3518,20.31,98,67,3.13,EC,1726368032
85,isafjordur,66.0755,-23.124,3.07,77,100,5.85,IS,1726368033
86,antofagasta,-23.65,-70.4,13.6,80,63,2.79,CL,1726367964
87,quzhou,28.9594,118.8686,31.26,59,51,4.26,CN,1726368035
88,hermanus,-34.4187,19.2345,13.22,89,86,4.11,ZA,1726368036
89,wailua homesteads,22.0669,-159.378,28.44,72,20,7.72,US,1726368037
90,merizo village,13.2658,144.6691,28.31,90,100,1.97,GU,1726368038
91,kapuskasing,49.4169,-82.4331,19.05,82,75,2.06,CA,1726368039
92,puerto maldonado,-12.6,-69.1833,28.22,78,50,0.51,PE,1726368041
93,mersa matruh,31.3525,27.2453,24.11,78,0,2.06,EG,1726368042
94,juneau,58.3019,-134.4197,10.61,100,65,0.76,US,1726367744
95,st. john's,47.5649,-52.7093,11.1,77,100,8.94,CA,1726367745
96,jikamshi,12.1733,7.7742,23.82,73,91,2.44,NG,1726368045
97,tuapse,44.1125,39.0742,20.57,59,0,3.55,RU,1726368046
98,ancud,-41.8697,-73.8203,7.73,90,78,2.8,CL,1726368047
99,preobrazheniye,42.9019,133.9064,20.2,46,6,2.06,RU,1726368048
100,tongliao,43.6125,122.2653,19.37,42,0,2.6,CN,1726368050
101,praia da vitoria,38.7333,-27.0667,22.09,88,20,2.48,PT,1726368051
102,aldinga beach,-35.2793,138.4604,14.8,48,0,6.57,AU,1726368052
103,constantia,44.1833,28.65,14.38,57,54,6.21,RO,1726368053
104,shinas,24.7433,56.4658,31.34,61,0,2.07,OM,1726368054
105,manado,1.487,124.8455,33.43,46,20,2.57,ID,1726368055
106,alofi,-19.0595,-169.9187,26.94,69,40,3.6,NU,1726368056
107,kolonia town,6.964,158.206,33.0,58,75,4.12,FM,1726368059
108,ribeira grande,38.5167,-28.7,20.43,85,7,2.24,PT,1726368060
109,roma,43.2128,-75.4557,18.08,95,20,0.89,US,1726368061
110,anadyr,64.75,177.4833,8.28,87,100,6.0,RU,1726368062
111,onega,63.9061,38.1404,12.99,70,88,3.48,RU,1726368063
